  0.020  0.490  0.250  0.790  0.010
  0.001  0.020  0.240  0.320  0.010
  0.001  0.020  0.004  1.350  0.070
  0.120  0.340  0.210  0.170  0.400
  0.080  0.140  0.170  0.020  0.002
  0.420  0.370  0.830  0.002  0.003
  1.720  0.330  0.150  0.010  0.010
  0.050  0.330  0.030  0.250  0.090
  0.010  0.350  0.030  0.230  0.160
  0.010  0.010  0.500  0.170  0.040
  0.003  0.500  0.040  0.010  0.270
  0.001  0.760  0.090  0.020  0.730
  0.003  1.060  0.040  0.001  0.410
  0.270  0.002  0.060  0.010  0.030
  0.001  0.060  0.060  0.020  0.120
  0.060  0.160  0.120  0.110  0.030
  0.050  0.270  0.003  0.210  1.040
  2.130  0.250  0.003  1.260  0.060
  0.040  0.290  0.400  0.010  0.090
  1.100  0.020  0.020  0.730  0.730
  0.020  0.050  0.510  0.100  0.040
  0.001  0.460  0.003  0.090  0.160
  0.140  0.070  0.020  0.007  0.590
  0.080  0.410  0.020  0.360  0.003
  0.210  0.020  0.020  0.770  0.002
  0.070  0.080  0.010  0.210  0.020
  0.320  0.210  0.001  1.270  0.004
  0.240  0.010  0.140  0.070  0.010
  0.290  0.440  0.001  0.080  0.001
  0.001  0.020  0.100  0.160  0.060
  0.290  0.050  0.010  0.260  0.620
  1.130  0.110  1.090  0.010  0.010
  0.003  1.500  0.010  0.230  0.520
  0.010  0.003  0.002  0.080  0.110
  0.190  0.180  0.001  0.020  0.003
  0.002  0.010  0.840  0.010  0.600
  0.010  0.002  0.030  0.290  0.002
  0.040  0.240  0.350      *  0.050
  0.002  0.010  0.070      *      *
  0.070  0.750  0.001      *      *
  0.450  0.010  0.002      *      *
  0.010  0.140  0.002      *      *
  0.180  0.130  0.200      *      *
  0.670  0.010  0.060      *      *
  0.003  0.010  0.140      *      *
  0.010  0.270  0.010      *      *
  0.040  0.450  0.020      *      *
  0.002  1.780  0.020      *      *
      *      *  0.002      *      *
      *      *  0.001      *      *
      *      *  0.550      *      *
      *      *  0.130      *      *
      *      *  0.190      *      *
      *      *  2.100      *      *
      *      *  0.090      *      *
      *      *  0.350      *      *
