Y1	X1	X2	Z1	Z2
51	59	72	63	51
59	76	86	72	56
52	67	68	70	58
41	52	58	61	50
48	54	59	64	59
47	54	64	63	56
48	54	60	63	57
53	62	76	66	58
51	65	70	67	56
49	59	72	64	54
48	55	65	63	56
51	59	70	64	55
49	60	68	66	57
47	59	61	66	58
53	63	75	65	54
53	63	75	65	53
54	70	80	69	53
49	56	69	62	52
46	60	67	66	55
47	58	72	62	49
54	61	73	65	56
50	58	72	64	54
51	59	65	66	58
55	64	76	68	60
51	64	71	69	59
50	54	61	62	57
47	59	70	64	52
53	59	67	64	54
55	62	71	68	63
49	57	65	65	59
49	57	70	62	52
53	57	75	64	58
48	60	72	64	51
45	56	62	64	54
53	62	68	68	61
51	60	68	65	56
46	58	69	63	51
51	59	68	64	54
45	60	65	65	53
46	56	63	63	54
50	64	72	67	54
54	60	71	66	59
55	61	76	66	59
50	65	71	68	56
44	49	60	59	51
50	63	72	68	58
51	56	66	63	57
45	57	66	61	47
45	58	62	64	51
46	56	70	63	52
45	56	69	62	52
49	56	68	62	52
48	57	64	64	56
44	54	67	63	55
51	62	69	67	57
50	66	76	67	54
45	57	66	63	52
46	53	63	61	53
51	64	69	68	57
43	59	72	64	49
53	65	72	69	60
46	61	65	67	55
58	71	81	69	56
53	68	73	69	55
51	56	71	62	53
47	62	67	67	57
50	57	71	63	54
57	66	78	68	59
47	59	67	64	53
45	51	58	62	56
50	58	69	65	57
53	64	76	65	51
50	56	72	63	56
51	55	70	62	54
44	50	64	59	51
54	62	70	67	59
51	62	73	66	56
48	63	69	67	54
50	62	73	66	55
48	57	72	63	52
48	56	68	63	56
55	65	79	68	58
47	60	68	63	50
53	67	72	69	58
47	58	72	62	50
48	61	70	65	54
52	64	77	67	56
49	60	63	65	54
